# pillbox-gtin version=2026-09-09 count=57672
#
# Штрихкоды упаковок. Собирается скриптом tools/extract_esklp.py —
# правьте исходники, а не этот файл.
#
# Два источника:
#   ЕСКЛП (Минздрав) — только ЖНВЛП: штрихкод там лежит в блоке
#     предельных цен, а он заполняется лишь для препаратов из перечня;
#   source/gtin_manual.tsv — коды с упаковок, внесённые вручную
#     (0 шт.): препараты вне перечня и БАДы.
#
# Код приведён к 14 знакам — так он приходит из кода маркировки.
#
# manual-gtins:
#
# Формат: код;название;действующее вещество;форма;дозировка;единица
gtin;name;inn;form;strength;unit
03664798010169;Метформин Санофи;Метформин;TABLET;850;MG
03664798010183;Метформин Санофи;Метформин;TABLET;500;MG
03664798010831;Неулептил;Перициазин;CAPSULE;10;MG
03664798011746;Имован;Зопиклон;TABLET;7.5;MG
03664798014471;Гутталакс Экспресс;Бисакодил;SUPPOSITORY;10;MG
03664798014600;Дупиксент;Дупилумаб;INJECTION;150;MG
03664798018400;Дупиксент;Дупилумаб;INJECTION;175;MG
03664798021882;Кордарон;Амиодарон;TABLET;200;MG
03664798022728;Кордарон;Амиодарон;TABLET;200;MG
03664798027297;Метформин Санофи;Метформин;TABLET;1000;MG
03664798027303;Метформин Санофи;Метформин;TABLET;850;MG
03664798027310;Метформин Санофи;Метформин;TABLET;500;MG
03664798033779;Лазолван;Амброксол;TABLET;30;MG
03664798033786;Лазолван;Амброксол;TABLET;30;MG
03664798034578;Гипотиазид;Гидрохлоротиазид;TABLET;25;MG
03664798034585;Гипотиазид;Гидрохлоротиазид;TABLET;100;MG
03664798036305;Апидра СолоСтар;Инсулин Глулизин;INJECTION;;
03664798038507;Но-шпа;Дротаверин;TABLET;40;MG
03664798038514;Но-шпа;Дротаверин;TABLET;40;MG
03664798038521;Но-шпа;Дротаверин;TABLET;40;MG
03664798038538;Но-шпа форте;Дротаверин;TABLET;80;MG
03664798038545;Но-шпа форте;Дротаверин;TABLET;80;MG
03664798039146;Плавикс;Клопидогрел;TABLET;300;MG
03664798039153;Плавикс;Клопидогрел;TABLET;75;MG
03664798039160;Плавикс;Клопидогрел;TABLET;75;MG
